Rank,Name,Gross Income,Audience Score,Critics Score,Director,Distributor,Release date
1,Avatar,"$2,923,706,026",82%,81%,James Cameron,20th Century Fox,"Dec 18, 2009, "
2,Avengers: Endgame,"$2,748,242,781",90%,94%,"Anthony Russo, Joe Russo",Walt Disney,"Apr 26, 2019, "
3,Avatar: The Way of Water,"$2,317,514,386",92%,76%,James Cameron,20th Century Studios,"Dec 16, 2022, "
4,Titanic,"$2,223,048,786",69%,88%,James Cameron,"20th Century Fox,, Paramount Pictures","Dec 19, 1997, "
5,Star Wars Ep. VII: The Force Awakens,"$2,058,880,845",N/A,N/A,N/A,N/A,N/A
6,Avengers: Infinity War,"$2,048,359,754",92%,85%,"Anthony Russo, Joe Russo",Walt Disney,"Apr 27, 2018, "
7,Spider-Man: No Way Home,"$1,908,532,719",98%,93%,Jon Watts,Columbia Pictures,"Dec 17, 2021, "
8,Jurassic World,"$1,669,963,641",78%,71%,Colin Trevorrow,Universal Pictures,"Jun 12, 2015, "
9,The Lion King,"$1,646,106,779",93%,92%,"Roger Allers, Rob Minkoff",Walt Disney Pictures,"Jun 24, 1994, "
10,Inside Out 2,"$1,559,255,587",N/A,N/A,N/A,N/A,N/A
11,The Avengers,"$1,515,100,211",N/A,N/A,N/A,N/A,N/A
12,Furious 7,"$1,511,986,364",N/A,N/A,N/A,N/A,N/A
13,Top Gun: Maverick,"$1,464,642,326",99%,96%,Joseph Kosinski,Paramount Pictures,"May 27, 2022, "
14,Frozen II,"$1,451,653,316",92%,77%,"Chris Buck, Jennifer Lee",Walt Disney,"Nov 22, 2019, "
15,Barbie,"$1,445,638,421",83%,88%,Greta Gerwig,Warner Bros. Pictures,"Jul 21, 2023, "
16,Avengers: Age of Ultron,"$1,395,316,979",82%,76%,Joss Whedon,Walt Disney,"May 1, 2015, "
17,The Super Mario Bros. Movie,"$1,361,553,421",N/A,N/A,N/A,N/A,N/A
18,Black Panther,"$1,334,157,082",50%,,Ian Merrick,N/A,N/A
19,Star Wars Ep. VIII: The Last Jedi,"$1,325,604,756",N/A,N/A,N/A,N/A,N/A
20,Harry Potter and the Deathly Hallows:…,"$1,312,201,690",N/A,N/A,N/A,N/A,N/A
21,Jurassic World: Fallen Kingdom,"$1,308,323,302",48%,46%,J. A. Bayona,Universal Pictures,"Jun 22, 2018, "
22,Frozen,"$1,273,378,817",62%,56%,Wang Xiaoshuai,Universal Pictures,"Jun 22, 2018, "
23,Beauty and the Beast,"$1,268,697,483",,,Diane Eskenazi,Universal Pictures,"Jun 22, 2018, "
24,Incredibles 2,"$1,242,805,359",N/A,N/A,N/A,N/A,N/A
25,The Fate of the Furious,"$1,235,534,014",72%,67%,F. Gary Gray,Universal Pictures,"Apr 14, 2017, "
26,Iron Man 3,"$1,215,392,272",N/A,N/A,N/A,N/A,N/A
27,Minions,"$1,157,271,759",49%,56%,"Pierre Coffin, Kyle Balda",Universal Pictures,"Jul 10, 2015, "
28,Captain America: Civil War,"$1,151,899,586",89%,90%,"Anthony Russo, Joe Russo",Walt Disney Pictures,"May 6, 2016, "
29,Spider-Man: Far From Home,"$1,132,937,929",95%,91%,Jon Watts,"Columbia Pictures,, Sony Pictures Entertainment","Jul 2, 2019, "
30,Aquaman,"$1,131,849,702",72%,65%,James Wan,Warner Bros. Pictures,"Dec 21, 2018, "
31,Captain Marvel,"$1,129,576,094",45%,79%,"Anna Boden, Ryan Fleck",Walt Disney,"Mar 8, 2019, "
32,The Lord of the Rings: The Return of …,"$1,123,837,908",N/A,N/A,N/A,N/A,N/A
33,Transformers: Dark of the Moon,"$1,123,794,079",55%,35%,Michael Bay,Paramount Pictures,"Jun 29, 2011, "
34,Skyfall,"$1,110,526,981",86%,92%,Sam Mendes,Sony Pictures Entertainment,"Nov 9, 2012, "
35,Transformers: Age of Extinction,"$1,104,054,072",50%,18%,Michael Bay,Paramount Pictures,"Jun 27, 2014, "
36,The Dark Knight Rises,"$1,082,228,107",90%,87%,Christopher Nolan,Warner Bros. Pictures,"Jul 20, 2012, "
37,Toy Story 4,"$1,072,817,964",N/A,N/A,N/A,N/A,N/A
38,Star Wars: The Rise of Skywalker,"$1,070,655,325",86%,51%,J.J. Abrams,Walt Disney,"Dec 20, 2019, "
39,Toy Story 3,"$1,068,879,522",N/A,N/A,N/A,N/A,N/A
40,Pirates of the Caribbean: Dead Man’s …,"$1,066,179,725",N/A,N/A,N/A,N/A,N/A
41,Joker,"$1,064,085,246",33%,,Yuri Kuzmenko,N/A,N/A
42,Jurassic Park,"$1,058,454,230",91%,92%,Steven Spielberg,Universal Pictures,"Jun 11, 1993, "
43,Rogue One: A Star Wars Story,"$1,055,083,596",87%,84%,Gareth Edwards,Walt Disney,"Dec 16, 2016, "
44,Aladdin,"$1,046,587,513",94%,57%,Guy Ritchie,Walt Disney,"May 24, 2019, "
45,Pirates of the Caribbean: On Stranger…,"$1,045,713,802",N/A,N/A,N/A,N/A,N/A
46,Star Wars Ep. I: The Phantom Menace,"$1,040,074,671",N/A,N/A,N/A,N/A,N/A
47,Despicable Me 3,"$1,032,809,657",N/A,N/A,N/A,N/A,N/A
48,Alice in Wonderland,"$1,025,491,110",,,"Robson Lima, Everton Rodrigues",N/A,N/A
49,Finding Dory,"$1,025,006,125",84%,94%,Andrew Stanton,Walt Disney,"Jun 17, 2016, "
50,The Hobbit: An Unexpected Journey,"$1,014,938,545",83%,64%,Peter Jackson,Warner Bros. Pictures,"Dec 14, 2012, "
51,The Dark Knight,"$1,007,695,772",94%,94%,Christopher Nolan,Warner Bros. Pictures,"Jul 18, 2008, "
52,Jurassic World: Dominion,"$1,004,004,592",77%,29%,Colin Trevorrow,Universal Pictures,"Jun 10, 2022, "
53,Zootopia,"$1,002,462,578",92%,98%,"Byron Howard, Rich Moore",Walt Disney,"Mar 4, 2016, "
54,The Lion King,"$988,389,726",93%,92%,"Roger Allers, Rob Minkoff",Walt Disney Pictures,"Jun 24, 1994, "
55,Oppenheimer,"$976,968,205",N/A,N/A,N/A,N/A,N/A
56,Despicable Me 2,"$975,216,835",N/A,N/A,N/A,N/A,N/A
57,Harry Potter and the Sorcerer’s Stone,"$963,637,834",N/A,N/A,N/A,N/A,N/A
58,Jumanji: Welcome to the Jungle,"$961,632,807",87%,76%,Jake Kasdan,Sony Pictures Entertainment,"Dec 20, 2017, "
59,Pirates of the Caribbean: At World’s …,"$960,996,492",N/A,N/A,N/A,N/A,N/A
60,The Hobbit: The Desolation of Smaug,"$959,358,436",85%,75%,Peter Jackson,Warner Bros. Pictures,"Dec 13, 2013, "
61,Doctor Strange in the Multiverse of M…,"$952,224,986",N/A,N/A,N/A,N/A,N/A
62,The Jungle Book,"$951,806,722",75%,,Wolfgang Reitherman,N/A,N/A
63,Harry Potter and the Deathly Hallows:…,"$944,062,255",N/A,N/A,N/A,N/A,N/A
64,The Hobbit: The Battle of the Five Ar…,"$940,323,039",N/A,N/A,N/A,N/A,N/A
65,Minions: The Rise of Gru,"$937,427,564",89%,70%,Kyle Balda,Universal Pictures,"Jul 1, 2022, "
66,Harry Potter and the Order of the Pho…,"$937,034,773",N/A,N/A,N/A,N/A,N/A
67,Finding Nemo,"$936,094,852",86%,99%,Andrew Stanton,Walt Disney Pictures,"May 30, 2003, "
